Price,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL
Ticker,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL
Date,,,,,,,,,,,,,,,,,,,,
2020-12-10 00:00:00+00:00,145.05853271484375,56.310001373291016,106.5199966430664,107.48999786376953,246.16000366210938,476.8699951171875,91.66000366210938,20.850000381469727,45.349998474121094,118.80999755859375,268.82000732421875,144.7100067138672,103.41000366210938,141.42999267578125,171.00999450683594,508.3900146484375,110.6500015258789,51.86000061035156,105.41999816894531,88.38249969482422
2020-12-11 00:00:00+00:00,145.50167846679688,56.36000061035156,107.0199966430664,106.33999633789062,245.8300018310547,475.9100036621094,91.6500015258789,21.149999618530273,44.84000015258789,118.4800033569336,267.3599853515625,139.25,103.52999877929688,138.64999389648438,172.5800018310547,507.0799865722656,109.58000183105469,51.709999084472656,104.43000030517578,88.73999786376953
2020-12-14 00:00:00+00:00,144.71571350097656,55.40999984741211,106.79000091552734,104.19999694824219,243.75,486.4200134277344,94.77999877929688,21.299999237060547,44.20000076293945,116.73999786376953,265.3999938964844,130.0,103.2699966430664,134.57000732421875,172.8300018310547,504.30999755859375,109.69000244140625,51.34000015258789,104.87000274658203,87.61299896240234
2020-12-15 00:00:00+00:00,146.0535125732422,56.41999816894531,107.44999694824219,102.81999969482422,247.0500030517578,482.6400146484375,97.12000274658203,22.280000686645508,44.869998931884766,117.38999938964844,270.010009765625,124.80000305175781,103.87000274658203,137.94000244140625,176.17999267578125,516.2999877929688,111.69999694824219,52.380001068115234,105.91999816894531,88.05400085449219
2020-12-16 00:00:00+00:00,146.66387939453125,55.08000183105469,107.33999633789062,104.63999938964844,247.4499969482422,489.8999938964844,96.8499984741211,21.899999618530273,44.68000030517578,117.23999786376953,268.8999938964844,137.99000549316406,104.5199966430664,135.77999877929688,177.6300048828125,516.3400268554688,111.19999694824219,51.63999938964844,106.41999816894531,87.8594970703125
2020-12-17 00:00:00+00:00,147.70066833496094,55.2599983215332,108.77999877929688,104.88999938964844,264.4700012207031,495.3599853515625,96.83999633789062,22.09000015258789,44.810001373291016,118.97000122070312,268.6000061035156,147.0500030517578,105.61000061035156,137.47999572753906,177.6999969482422,526.719970703125,112.81999969482422,51.72999954223633,106.55999755859375,87.02549743652344
2020-12-18 00:00:00+00:00,147.50836181640625,55.63999938964844,108.97000122070312,104.44999694824219,266.25,502.95001220703125,95.91999816894531,22.540000915527344,43.88999938964844,119.30000305175781,269.54998779296875,157.3000030517578,107.08000183105469,138.89999389648438,175.25999450683594,529.9199829101562,113.75,51.04999923706055,107.4000015258789,86.31099700927734
2020-12-21 00:00:00+00:00,146.87290954589844,55.81999969482422,108.08999633789062,103.70999908447266,261.4200134277344,498.3900146484375,93.2300033569336,22.6200008392334,43.59000015258789,117.77999877929688,264.489990234375,163.02000427246094,105.9800033569336,142.02000427246094,174.6199951171875,530.7100219726562,112.79000091552734,50.34000015258789,106.16999816894531,86.72799682617188
2020-12-22 00:00:00+00:00,146.1371307373047,55.36000061035156,108.27999877929688,102.80000305175781,259.4700012207031,504.1700134277344,93.16000366210938,22.81999969482422,43.029998779296875,117.37000274658203,264.010009765625,163.19000244140625,106.63999938964844,146.27000427246094,175.88999938964844,536.5900268554688,112.38999938964844,50.18000030517578,106.19000244140625,86.01100158691406
2020-12-23 00:00:00+00:00,145.47659301757812,55.11000061035156,107.44999694824219,103.27999877929688,257.44000244140625,496.9100036621094,91.55000305175781,23.489999771118164,43.529998779296875,117.30000305175781,266.25,158.00999450683594,107.05999755859375,149.91000366210938,173.69000244140625,525.0,112.76000213623047,49.540000915527344,105.98999786376953,86.4114990234375
2020-12-24 00:00:00+00:00,145.91973876953125,55.47999954223633,108.3499984741211,103.26000213623047,257.29998779296875,499.8599853515625,91.80999755859375,23.270000457763672,43.84000015258789,117.30999755859375,268.3500061035156,154.83999633789062,107.45999908447266,149.63999938964844,174.5,528.030029296875,113.02999877929688,50.02000045776367,107.19000244140625,86.70800018310547
2020-12-28 00:00:00+00:00,146.07859802246094,55.619998931884766,107.79000091552734,103.44999694824219,259.67999267578125,498.95001220703125,91.5999984741211,23.299999237060547,43.91999816894531,117.83000183105469,268.6000061035156,149.0,107.27999877929688,149.72000122070312,175.8699951171875,520.8599853515625,114.5199966430664,50.310001373291016,107.47000122070312,88.697998046875
2020-12-29 00:00:00+00:00,145.35952758789062,54.709999084472656,108.33000183105469,104.69999694824219,257.760009765625,502.1099853515625,90.62000274658203,23.309999465942383,43.75,117.2300033569336,268.7300109863281,150.0,106.70999908447266,146.22000122070312,175.16000366210938,520.4500122070312,113.54000091552734,50.47999954223633,107.5199966430664,87.88800048828125
2020-12-30 00:00:00+00:00,145.57691955566406,54.709999084472656,108.44000244140625,105.2699966430664,257.5400085449219,497.45001220703125,92.29000091552734,22.780000686645508,44.0099983215332,117.38999938964844,271.1000061035156,148.42999267578125,104.6500015258789,149.2899932861328,175.08999633789062,524.3200073242188,114.94000244140625,50.7599983215332,108.1500015258789,86.8125
2020-12-31 00:00:00+00:00,146.14549255371094,54.81999969482422,109.48999786376953,107.1500015258789,261.2099914550781,500.1199951171875,91.70999908447266,23.5,44.470001220703125,118.48999786376953,273.2200012207031,146.8000030517578,104.98999786376953,147.52000427246094,178.22000122070312,534.3800048828125,116.37999725341797,51.529998779296875,109.93000030517578,87.63200378417969
